character_name,book_id,book_name,cluster_label,prototype_name,avg_sentence_len,question_ratio,exclamation_ratio,slang_ratio,emotion_level,pca_x,pca_y
翩骤然发,8892fcbd6fbe6a89,全员团灭后，咸鱼师妹怒修天道！,7,温柔型,26.24,0.005,0.0,0.0,0.0037,-2.3824083662650324,-0.0060965150477637516
着头皮回,8892fcbd6fbe6a89,全员团灭后，咸鱼师妹怒修天道！,7,温柔型,25.1,0.0053,0.0,0.0071,0.0018,-3.522408330415704,-0.006211383647128351
大家解释,8892fcbd6fbe6a89,全员团灭后，咸鱼师妹怒修天道！,7,温柔型,24.81,0.0014,0.0014,0.0028,0.0,-3.81240809424542,-0.005093778821892156
鸢忍不住,8892fcbd6fbe6a89,全员团灭后，咸鱼师妹怒修天道！,7,温柔型,28.1,0.0041,0.0007,0.0014,0.0007,-0.5224083372043253,-0.005206008762725974
轻轻地回,8892fcbd6fbe6a89,全员团灭后，咸鱼师妹怒修天道！,0,冰山型,32.33,0.0,0.0,0.0,0.0,3.7075921303533512,-0.005444299762891012
勉力回,8892fcbd6fbe6a89,全员团灭后，咸鱼师妹怒修天道！,7,温柔型,23.33,0.0057,0.0,0.0,0.0019,-5.292408348657844,-0.00655773749776245
气急切地,8892fcbd6fbe6a89,全员团灭后，咸鱼师妹怒修天道！,2,睿智型,19.17,0.0081,0.0081,0.0081,0.0,-9.452409666555642,0.001049062148373905
鸢立马回,8892fcbd6fbe6a89,全员团灭后，咸鱼师妹怒修天道！,7,温柔型,24.27,0.0036,0.0036,0.0036,0.0,-4.352408632354042,-0.0028916530547173375
咄逼人的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,14.0,0.0165,0.011,0.0055,0.0,-14.622410866257422,0.003417927431371242
头哈腰的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,18.45,0.0025,0.0136,0.0012,0.0,-10.172409895155518,0.006151185470811307
手划脚的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,15.79,0.0082,0.0206,0.0041,0.0,-12.832411459273857,0.012976481806194137
厉内荏的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,18.67,0.0167,0.0167,0.0,0.0,-9.952411802395918,0.00974876949588092
美玉耳边,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,17.72,0.0136,0.0087,0.0,0.0,-10.902410296328238,0.001508004970339892
久冷冷的,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,15.92,0.0067,0.0114,0.0038,0.001,-12.70240998104427,0.003775967694445626
中年男人,d648dde186491555,御灵：开局觉灵圣翼天使,2,睿智型,17.89,0.0066,0.0157,0.0008,0.0008,-10.732410631181757,0.008319570669277701
